error, error_dot, error_int, stamp, 
-2.356193969, 8.014555414326323e-11,-0.389352714, 1761337964.2358508, 
-2.356193969, 6.646475347149112e-11,-0.347932404, 1761337964.286301, 
-2.35614887,0.000539182,-0.326114007, 1761337964.3281229, 
-2.341825702, 0.1062013008962828,-0.386568958, 1761337964.395901, 
-2.327028844, 0.33583576760553535,-0.350972602, 1761337964.4280438, 
-2.294954839, 0.4977824463393046,-0.320578453, 1761337964.4879708, 
-2.26295557, 0.5884961996042806,-0.377940564, 1761337964.5378313, 
-2.223556884, 0.7146880986581945,-0.338680799, 1761337964.587855, 
-2.176834471, 0.8811801195085394,-0.326357126, 1761337964.6357872, 
-2.12030708, 1.0541791718575328,-0.318854583, 1761337964.6856527, 
-2.070146099, 1.157838552202485,-0.293850296, 1761337964.7280872, 
-1.986402573, 1.2099078123385698,-0.340014645, 1761337964.7957458, 
-1.875943557, 1.215685823267019,-0.475188644, 1761337964.8882859, 
-1.756878265, 1.1890095771202875,-0.542449866, 1761337964.988815, 
-1.645743127, 1.1652011675459248,-0.521269653, 1761337965.0857902, 
-1.537990649, 1.0614122292193968,-0.512059814, 1761337965.1961012, 
-1.459204899, 0.9147216134946623,-0.470593063, 1761337965.288504, 
-1.380277936, 0.8197776638053155,-0.421772249, 1761337965.3888023, 
-1.312865509, 0.7413587697684565,-0.409387709, 1761337965.4856875, 
-1.253023939, 0.6728709265600001,-0.372827896, 1761337965.5777593, 
-1.19545099, 0.6190977605955202,-0.35722052, 1761337965.6756306, 
-1.139282672, 0.5444959881411744,-0.376789591, 1761337965.787801, 
-1.093247505,0.485272454,-0.360209611, 1761337965.8857892, 
-1.036582946, 0.4920390981599404,-0.340268225, 1761337965.9959726, 
-0.990435856, 0.5079576831605334,-0.315421164, 1761337966.087965, 
-0.940901246, 0.49897708855727235,-0.284619705, 1761337966.1877701, 
-0.892087233, 0.4970911801043155,-0.279308681, 1761337966.2858157, 
-0.846428528, 0.49667724362989873,-0.254806286, 1761337966.3779655, 
-0.799733076, 0.4846431392628847,-0.242027668, 1761337966.4765205, 
-0.744473881, 0.48527006426650876,-0.250776334, 1761337966.5877645, 
-0.700584178, 0.47233108544805147,-0.234837496, 1761337966.6857493, 
-0.664802817,0.41814714,-0.20055998, 1761337966.7778811, 
-0.630923152, 0.36714004590513283,-0.189725058, 1761337966.875825, 
-0.596108648, 0.32848980950919215,-0.198512309, 1761337966.9877431, 
-0.569014283, 0.2936932003685298,-0.188561608, 1761337967.085799, 
-0.542449465, 0.2586704160106045,-0.177819628, 1761337967.1960151, 
-0.522319057, 0.22957727883857898,-0.165422563, 1761337967.2883015, 
-0.504036012, 0.20100384086985532,-0.150383051, 1761337967.387732, 
-0.485759254, 0.18515742074083064,-0.149292714, 1761337967.4857638, 
-0.469619052, 0.18081934227376073,-0.138757738, 1761337967.5778873, 
-0.449993094, 0.17559682776143679,-0.14309475, 1761337967.6894033, 
-0.430505555, 0.18707679402696265,-0.141666398, 1761337967.7877452, 
-0.411710573, 0.1950094735707335,-0.126833544, 1761337967.8857086, 
